Question;Answer;AnswerPl;Type;Qualification;IsActive
What is meant by RGB stream?;RGB represents colors in CSS. The three streams are namely Red, Green, and Blue. The intensity of colors is represented using numbers 0 to 256. This allows CSS to have a spectrum of visible colors.;RGB reprezentuje kolory w CSS. Trzy strumienie to czerwony, zielony i niebieski. Intensywność kolorów jest reprezentowana za pomocą liczb od 0 do 256. Dzięki temu CSS może mieć spektrum widocznych kolorów.;CSS;;false
What are Lists in HTML? (HTML Lists);HTML lists are used to group a set of related items in lists. It is defined with an <li> tag. Some commonly used HTML lists: 1. Ordered List (HTML tag: <ol>) 2. Unordered List (HTML tag: <ul>) 3. Description List (HTML tag: <dl>) 4. Menu List (HTML tag: <menu>) 5. Directory List (HTML tag: <dir>);Listy HTML służą do grupowania zbioru powiązanych elementów na listach. Są zdefiniowane za pomocą znacznika <li>. Niektóre powszechnie używane listy HTML: 1. Lista uporządkowana (tag HTML: <ol>) 2. Lista nieuporządkowana (tag HTML: <ul>) 3. Lista opisowa (tag HTML: <dl>) 4. Lista menu (tag HTML: <menu>) 5. Lista katalogów (znacznik HTML: <dir>);HTML;;true
Are CSS styles inherited? (CSS inheritance);Some styles are inherited down the HTML tree and some are not. Typically, styles that are inherited are text styling. Styles that are not inherited are typically related to the appearance of the element.;Niektóre style są dziedziczone w dół drzewa HTML, a niektóre nie. Style, które są dziedziczone są zazwyczaj połączone ze stylowaniem tekstu. Style, które nie są dziedziczone są zazwyczaj związane z wyglądem elementu.;OOP;;true
What is a semantic HTML?;The semantic HTML elements clearly describe their use by their name. For example, non-semantic elements are <div> and <span> (they say nothing about the content), and semantic elements are <form>, <table>, and <article> (they clearly describe what is in them).;Semantyczne elementy HTML jasno opisują swoje zastosowanie poprzez swoją nazwę. Dla przykładu niesemantyczne elementy to <div> i <span> (nic nie mówią o zawartości), a semantyczne to <form>, <table>, i <article> (jasno opisują co ma się w nich znaleźć).;CSS;;true
Describe Angular's bootstrapping process.;The main.ts file is loaded by angular.json, then it loads app.module and this makes Angular aware of the AppComponent. Then index.html is loaded in the browser which loads the AppComponent that uses the view specified in that component.;Plik main.ts jest ładowany przez angular.json, wtedy ładuje on app.module i to powoduje, że Angular jest świadom AppComponentu. Następnie index.html jest załadowany w przeglądarce, który ładuje AppComponent używające widoku określonego w tym komponencie.;Angular;;false
How does absolute positioning work? (position absolute, position: absolute);Element with 'position: absolute' is removed from the normal HTML document workflow without creating any space for the element in the HTML page layout. The element can be positioned respectively to the closest ancestor ancestor with different position than static, otherwise, if the ancestor is not found, the element is placed with respect to <html> tag. The values provided to the top, right, left and bottom determine the final position of the element.;Element z 'position: absolute' jest usuwany z normalnego workflow na dokumencje HTML - nie tworzy się na nim miejsca na element w układzie strony HTML. Element może być umieszczony relatywnie do najbliższego przodka z pozycją inną niż static, w przeciwnym razie, jeśli przodek nie zostanie znaleziony, element zostanie umieszczony w odniesieniu do znacznika <html>. Wartości podane w top, right, left, i bottom określa ostateczną pozycję elementu.;CSS;;true
Can an abstract class contain normal methods?;Yes, if we want to override a method in a derived class, we need to add 'override' before method name.;Tak, jeżeli chcemy umożliwić nadpisywanie metody w klasie pochodnej musimy dodać override przed nazwą metody.;OOP;;false
How does 'this' work? (this., JavaScript this);If the function is in an object, this will be that object. The exception is the arrow function, which does not create a new context, its this context is one level up. The "this" keyword refers to the object that the function is a property of. The value of the "this" keyword will always depend on the object that is invoking the function.;Jeżeli funkcja jest w obiekcie - this to będzie ten obiekt. Wyjątkiem jest funkcja strzałkowa, która nie tworzy nowego kontekstu, jej kontekst this jest poziom wyżej. The “this” keyword refers to the object that the function is a property of. The value of the “this” keyword will always depend on the object that is invoking the function.;JavaScript;;true
What is tsconfig.json?;In the file, we can specify various options with information on how to compile the project. The presence of this file in a folder determines that it is the root of a TypeScript project.;W pliku możemy określić różne opcje z informacjami jak skompilować projekt. Obecność tego pliku w folderze określa, że jest on root'em projektu TypeScriptowego.;TypeScript;;true
What Injectors are over the root ModuleInjector?;1. ModuleInjector defined by plaformBrowser when bootstrapping the main application module (AppModule where the root ModuleInjector is located): platformBrowserDynamic(). BootstrapModule (AppModule) .then (ref => {...}) 2. NullInjector(), which is at the very top of the hierarchy and if we hit it we get an error or null if we specified the parameter as @Optional().;1. ModuleInjector definiowany przez plaformBrowser podczas bootstrapowania głównego modułu aplikacji (AppModule, w którym znajduje się root ModuleInjector): platformBrowserDynamic().bootstrapModule(AppModule).then(ref => {...}) 2. NullInjector(), który jest na samej górze hierarcji i jeżeli doszliśmy do niego dostajemy error albo null jeżeli określiliśmy parametr jako @Optional().;Angular;;false
